Campaign,Campaign Daily Budget,Campaign Type,Networks,Languages,Ad Group,Max CPC,Keyword,Criterion Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Final URL,Path 1,Path 2
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","30","Search","Google search","en;pt","[01] - Termos de Compra","12","","","Teds Woodworking™ Official","16,000 Woodworking Plans","Instant Download PDF Plans","Special Discount Today (77% Off)","Official Website - Lifetime Access","Get Instant Access to 16,000 Woodworking Plans & Projects. Step-by-Step Instructions!","Download 16,000 Step-by-Step Plans. 60-Day 100% Money-Back Guarantee. Order Now!","https://gringatools.vercel.app/presell.html?p=Teds%20Woodworking&link=https://SEU_NICKNAME.tedswood.hop.clickbank.net","Official","Discount"
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","""teds woodworking""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","[teds woodworking]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","""buy teds woodworking""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","[buy teds woodworking]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","""order teds woodworking""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","[order teds woodworking]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","""teds woodworking official website""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","[teds woodworking official website]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","""teds woodworking plans""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","[teds woodworking plans]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","""where to buy teds woodworking""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","[01] - Termos de Compra","12","[where to buy teds woodworking]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","free","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","gratis","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","login","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","member","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","members","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","download","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","pdf","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","scam","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","complaints","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","fake","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","side effects","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","amazon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","ebay","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","walmart","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","coupon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","discount code","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","refund","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","does it work","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","is it legit","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","review","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - TEDS WOODWORKING","","","","","","","reviews","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","30","Search","Google search","en;pt","[01] - Termos de Compra","12","","","Brain Training for Dogs™","Official Adrienne Farricelli","Stop Dog Barking & Biting","Easy 21 Force-Free Games","Special 60-Day Guarantee","Develop Your Dogs Hidden Intelligence to Eliminate Bad Behavior. Official Course!","Certified Dog Trainer Adrienne Farricellis Proven System. 60-Day Money-Back Guarantee.","https://gringatools.vercel.app/presell.html?p=Brain%20Training%20for%20Dogs&link=https://SEU_NICKNAME.bt4dogs.hop.clickbank.net","Official","Discount"
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","""brain training for dogs""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","[brain training for dogs]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","""buy brain training for dogs""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","[buy brain training for dogs]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","""order brain training for dogs""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","[order brain training for dogs]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","""brain training for dogs official website""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","[brain training for dogs official website]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","""adrienne farricelli dog training""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","[01] - Termos de Compra","12","[adrienne farricelli dog training]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","free","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","gratis","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","login","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","member","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","members","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","download","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","pdf","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","scam","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","complaints","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","fake","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","side effects","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","amazon","Negative Phrase","","","","","","","","","",""
